Código;Grupo;Ingles;Traduzido;
100;Informal;Continue;Continuar;
101;Informal;Switching Protocols;Troca de Protocolos;
102;Informal;Processing;Processando;
200;Successo;Ok;Ok;
201;Sucesso;Created;Criado;
202;Sucesso;Accepted;Aceito;
203;Sucesso;Non-Authoritative Information;Informação não autorizado;
204;Sucesso;No Content;Nenhum Conteúdo;
205;Sucesso;Reset Content;Resetar Conteúdo;
206;Sucesso;Partial Content;Conteúdo Parcial;
207;Sucesso;Multi-Status;Múltiplos recursos sendo acessados;
208;Sucesso;Reported;Reportado;
226;Sucesso;;Manipulações de instância utilizadas (IM);
300;Redirecionamento;Multiple Choices;Múltipla Escolha;
301;Redirecionamento;Moved Permanently;Movido Permanentemente;
302;Redirecionamento;Found;Encontrado;
303;Redirecionamento;See Other;O servidor está redirecionando;
304;Redirecionamento;Not Modified;Não modificado;
305;Redirecionamento;Use Proxy;Usar Servidor Proxy;
306;Redirecionamento;Proxy Switch;Proxy Trocado;
307;Redirecionamento;Temporary Redirect;Redirecionamento temporario;
308;Redirecionamento;Permanent Redirect;Redirecionamento permanente;
400;Erro no Client;Bad Request;Solicitação Inválida;
401;Erro no Client;Unauthorized;Não Autorizado;
402;Erro no Client;Payment Required;Pagamento necessário;
403;Erro no Client;Forbidden;Proibido;
404;Erro no Client;Not Found;Não encontrado;
405;Erro no Client;Method Not Allowed;Método não permitido;
406;Erro no Client;Not Acceptable;Não aceito;
407;Erro no Client;Proxy Authentication Required;Autenticação de Proxy Necessária;
408;Erro no Client;Request Time-out;Tempo de solicitação esgotado;
409;Erro no Client;Conflict;Conflito;
410;Erro no Client;Gone;Perdido;
411;Erro no Client;Length Required;Duração necessária;
412;Erro no Client;Precondition Failed;Falha de pré-condição;
413;Erro no Client;Request Entity Too Large;Solicitação da entidade muito extensa;
414;Erro no Client;Request-URL Too Large;Solicitação de URL muito Longa;
415;Erro no Client;Unsupported Media Type;Tipo de mídia não suportado;
416;Erro no Client;Request Range Not Satisfiable;Solicitação de faixa não satisfatória;
417;Erro no Client;Expectation Failed;Falha na expectativa;
421;Erro no Client;Misdirected Request;Solicitação mal direcionada;
422;Erro no Client;Unprocessable Entity;Entidade Não Processada;
423;Erro no Client;Locked;Bloqueado;
424;Erro no Client;Failed Dependency;Dependência falhada;
425;Erro no Client;Too Early;Muito cedo;
426;Erro no Client;Upgrade Required;Atualização necessária;
428;Erro no Client;Precondition Required;Pré-condição necessária;
429;Erro no Client;Too Many Requests;O limite de requisições foi atingido;
431;Erro no Client;Request Header Fields Too Large;Campos de cabeçalhos muito grandes;
444;Erro no Client;Connection Closed Without Response;Conexão fechada sem resposta;
451;Erro no Client;Unavailable For Legal Reasons;Indisponível por Razões Legais;
499;Erro no Client;Client Closed Request;O cliente encerrou a requisição enquanto o servidor ainda estava processando-a;
500;Erro no Servidor;Internal Server Error;Erro do Servidor Interno;
501;Erro no Servidor;Not Implemented;Não implementado;
502;Erro no Servidor;Bad Gateway;Porta de entrada ruim;
503;Erro no Servidor;Service Unavailable;Serviço Indisponível;
504;Erro no Servidor;Gateway Time-out;Tempo limite da Porta de Entrada;
505;Erro no Servidor;HTTP Version Not Supported;Versão HTTP não suportada;
506;Erro no Servidor;Variant Also Negotiates;Variant também negocia;
507;Erro no Servidor;Insufficient Storage;Armazenamento insuficiente;
508;Erro no Servidor;Loop Detected;Loop detectado;
510;Erro no Servidor;Not Extended;Não prorrogado;
511;Erro no Servidor;Network Authentication Required;Autorização de rede necessária;
599;Erro no Servidor;Network Connect Timeout Error;Expiração no tempo de resposta do Proxy;




